,Latitud,Longitud,Lai,date
0,21.50482,-88.18452,7,20210922
1,21.50482,-88.18452,25,20210926
2,21.50482,-88.18452,12,20210930
3,21.50482,-88.18452,29,20211004
4,21.50482,-88.18452,19,20211008
5,21.50482,-88.18452,23,20211012
6,21.50482,-88.18452,12,20211016
7,21.50482,-88.18452,3,20211020
8,21.50482,-88.18452,24,20211024
9,21.50482,-88.18452,17,20211028
10,21.50482,-88.18452,16,20211101
11,21.50482,-88.18452,42,20211105
12,21.50482,-88.18452,11,20211109
13,21.50482,-88.18452,12,20211113
14,21.50482,-88.18452,8,20211117
15,21.50482,-88.18452,9,20211121
16,21.50482,-88.18452,12,20211125
17,21.50482,-88.18452,12,20211129
18,21.50482,-88.18452,15,20211203
19,21.50482,-88.18452,11,20211207
20,21.50482,-88.18452,8,20211211
21,21.50482,-88.18452,9,20211215
22,21.50482,-88.18452,12,20211219
23,21.50482,-88.18452,6,20211223
24,21.50482,-88.18452,7,20211227
25,21.50482,-88.18452,6,20211231
26,21.50482,-88.18452,6,20220101
27,21.50482,-88.18452,9,20220105
28,21.50482,-88.18452,3,20220109
29,21.50482,-88.18452,7,20220113
30,21.50482,-88.18452,11,20220117
31,21.50482,-88.18452,10,20220121
32,21.50482,-88.18452,12,20220125
33,21.50482,-88.18452,10,20220129
34,21.50482,-88.18452,9,20220202
35,21.50482,-88.18452,6,20220206
36,21.50482,-88.18452,13,20220210
37,21.50482,-88.18452,13,20220214
38,21.50482,-88.18452,9,20220218
39,21.50482,-88.18452,15,20220222
40,21.50482,-88.18452,14,20220226
41,21.50482,-88.18452,13,20220302
42,21.50482,-88.18452,11,20220306
43,21.50482,-88.18452,11,20220310
44,21.50482,-88.18452,12,20220314
45,21.50482,-88.18452,10,20220318
46,21.50482,-88.18452,6,20220322
47,21.50482,-88.18452,12,20220326
48,21.50482,-88.18452,11,20220330
49,21.50482,-88.18452,5,20220415
50,21.50482,-88.18452,6,20220419
51,21.50482,-88.18452,7,20220423
52,21.50482,-88.18452,6,20220427
53,21.50482,-88.18452,6,20220501
54,21.50482,-88.18452,9,20220505
55,21.50482,-88.18452,9,20220509
56,21.50482,-88.18452,6,20220513
57,21.50482,-88.18452,5,20220517
58,21.50482,-88.18452,5,20220521
59,21.50482,-88.18452,5,20220525
60,21.50482,-88.18452,7,20220529
61,21.50482,-88.18452,8,20220602
62,21.50482,-88.18452,3,20220606
63,21.50482,-88.18452,10,20220610
64,21.50482,-88.18452,14,20220614
65,21.50482,-88.18452,10,20220618
66,21.50482,-88.18452,24,20220622
67,21.50482,-88.18452,15,20220626
68,21.50482,-88.18452,12,20220630
69,21.50482,-88.18452,12,20220704
70,21.50482,-88.18452,8,20220708
71,21.50482,-88.18452,12,20220712
72,21.50482,-88.18452,16,20220716
73,21.50482,-88.18452,14,20220720
74,21.50482,-88.18452,13,20220724
75,21.50482,-88.18452,11,20220728
76,21.50482,-88.18452,15,20220801
77,21.50482,-88.18452,14,20220805
78,21.50482,-88.18452,1,20220809
79,21.50482,-88.18452,17,20220813
80,21.50482,-88.18452,19,20220817
81,21.50482,-88.18452,21,20220821
82,21.50482,-88.18452,10,20220825
83,21.50482,-88.18452,7,20220829
84,21.50482,-88.18452,6,20220902
85,21.50482,-88.18452,18,20220906
86,21.50482,-88.18452,21,20220910
87,21.50482,-88.18452,17,20220914
88,21.50482,-88.18452,22,20220918
89,21.50482,-88.18452,12,20220922
90,21.50482,-88.18452,6,20220926
91,21.50482,-88.18452,19,20220930
92,21.50482,-88.18452,25,20221004
93,21.50482,-88.18452,8,20221008
94,21.50482,-88.18452,14,20221024
95,21.50482,-88.18452,28,20221028
96,21.50482,-88.18452,15,20221101
97,21.50482,-88.18452,16,20221105
98,21.50482,-88.18452,14,20221109
99,21.50482,-88.18452,11,20221113
100,21.50482,-88.18452,14,20221117
101,21.50482,-88.18452,8,20221121
102,21.50482,-88.18452,10,20221125
103,21.50482,-88.18452,12,20221129
104,21.50482,-88.18452,11,20221203
105,21.50482,-88.18452,6,20221207
106,21.50482,-88.18452,10,20221211
107,21.50482,-88.18452,6,20221215
108,21.50482,-88.18452,10,20221219
109,21.50482,-88.18452,1,20221223
110,21.50482,-88.18452,8,20221227
