,Latitud,Longitud,Lai,date
0,20.55036,-89.87651,16,20210922
1,20.55036,-89.87651,45,20210926
2,20.55036,-89.87651,49,20210930
3,20.55036,-89.87651,51,20211004
4,20.55036,-89.87651,8,20211008
5,20.55036,-89.87651,50,20211012
6,20.55036,-89.87651,45,20211016
7,20.55036,-89.87651,1,20211020
8,20.55036,-89.87651,7,20211024
9,20.55036,-89.87651,47,20211028
10,20.55036,-89.87651,43,20211101
11,20.55036,-89.87651,59,20211105
12,20.55036,-89.87651,16,20211109
13,20.55036,-89.87651,9,20211113
14,20.55036,-89.87651,58,20211117
15,20.55036,-89.87651,13,20211121
16,20.55036,-89.87651,47,20211125
17,20.55036,-89.87651,47,20211129
18,20.55036,-89.87651,61,20211203
19,20.55036,-89.87651,25,20211207
20,20.55036,-89.87651,42,20211211
21,20.55036,-89.87651,31,20211215
22,20.55036,-89.87651,50,20211219
23,20.55036,-89.87651,33,20211223
24,20.55036,-89.87651,46,20211227
25,20.55036,-89.87651,20,20211231
26,20.55036,-89.87651,9,20220101
27,20.55036,-89.87651,27,20220105
28,20.55036,-89.87651,16,20220109
29,20.55036,-89.87651,45,20220113
30,20.55036,-89.87651,44,20220117
31,20.55036,-89.87651,18,20220121
32,20.55036,-89.87651,19,20220125
33,20.55036,-89.87651,18,20220129
34,20.55036,-89.87651,15,20220202
35,20.55036,-89.87651,6,20220206
36,20.55036,-89.87651,16,20220210
37,20.55036,-89.87651,18,20220214
38,20.55036,-89.87651,11,20220218
39,20.55036,-89.87651,18,20220222
40,20.55036,-89.87651,15,20220226
41,20.55036,-89.87651,19,20220302
42,20.55036,-89.87651,21,20220306
43,20.55036,-89.87651,19,20220310
44,20.55036,-89.87651,12,20220314
45,20.55036,-89.87651,14,20220318
46,20.55036,-89.87651,12,20220322
47,20.55036,-89.87651,15,20220326
48,20.55036,-89.87651,15,20220330
49,20.55036,-89.87651,13,20220415
50,20.55036,-89.87651,13,20220419
51,20.55036,-89.87651,14,20220423
52,20.55036,-89.87651,15,20220427
53,20.55036,-89.87651,17,20220501
54,20.55036,-89.87651,25,20220505
55,20.55036,-89.87651,44,20220509
56,20.55036,-89.87651,44,20220513
57,20.55036,-89.87651,43,20220517
58,20.55036,-89.87651,30,20220521
59,20.55036,-89.87651,39,20220525
60,20.55036,-89.87651,20,20220529
61,20.55036,-89.87651,9,20220602
62,20.55036,-89.87651,49,20220606
63,20.55036,-89.87651,55,20220610
64,20.55036,-89.87651,57,20220614
65,20.55036,-89.87651,7,20220618
66,20.55036,-89.87651,44,20220622
67,20.55036,-89.87651,48,20220626
68,20.55036,-89.87651,49,20220630
69,20.55036,-89.87651,16,20220704
70,20.55036,-89.87651,59,20220708
71,20.55036,-89.87651,6,20220712
72,20.55036,-89.87651,50,20220716
73,20.55036,-89.87651,33,20220720
74,20.55036,-89.87651,61,20220724
75,20.55036,-89.87651,45,20220728
76,20.55036,-89.87651,60,20220801
77,20.55036,-89.87651,57,20220805
78,20.55036,-89.87651,42,20220809
79,20.55036,-89.87651,50,20220813
80,20.55036,-89.87651,47,20220817
81,20.55036,-89.87651,8,20220821
82,20.55036,-89.87651,47,20220825
83,20.55036,-89.87651,55,20220829
84,20.55036,-89.87651,46,20220902
85,20.55036,-89.87651,17,20220906
86,20.55036,-89.87651,22,20220910
87,20.55036,-89.87651,48,20220914
88,20.55036,-89.87651,21,20220918
89,20.55036,-89.87651,49,20220922
90,20.55036,-89.87651,54,20220926
91,20.55036,-89.87651,47,20220930
92,20.55036,-89.87651,46,20221004
93,20.55036,-89.87651,6,20221008
94,20.55036,-89.87651,70,20221024
95,20.55036,-89.87651,60,20221028
96,20.55036,-89.87651,54,20221101
97,20.55036,-89.87651,51,20221105
98,20.55036,-89.87651,53,20221109
99,20.55036,-89.87651,46,20221113
100,20.55036,-89.87651,70,20221117
101,20.55036,-89.87651,12,20221121
102,20.55036,-89.87651,51,20221125
103,20.55036,-89.87651,43,20221129
104,20.55036,-89.87651,32,20221203
105,20.55036,-89.87651,47,20221207
106,20.55036,-89.87651,43,20221211
107,20.55036,-89.87651,47,20221215
108,20.55036,-89.87651,48,20221219
109,20.55036,-89.87651,5,20221223
110,20.55036,-89.87651,44,20221227
