,Latitud,Longitud,Lai,date
0,21.34308,-88.07177,70,20210922
1,21.34308,-88.07177,21,20210926
2,21.34308,-88.07177,16,20210930
3,21.34308,-88.07177,27,20211004
4,21.34308,-88.07177,20,20211008
5,21.34308,-88.07177,23,20211012
6,21.34308,-88.07177,19,20211016
7,21.34308,-88.07177,70,20211020
8,21.34308,-88.07177,8,20211024
9,21.34308,-88.07177,19,20211028
10,21.34308,-88.07177,18,20211101
11,21.34308,-88.07177,11,20211105
12,21.34308,-88.07177,17,20211109
13,21.34308,-88.07177,15,20211113
14,21.34308,-88.07177,11,20211117
15,21.34308,-88.07177,15,20211121
16,21.34308,-88.07177,15,20211125
17,21.34308,-88.07177,13,20211129
18,21.34308,-88.07177,15,20211203
19,21.34308,-88.07177,11,20211207
20,21.34308,-88.07177,14,20211211
21,21.34308,-88.07177,15,20211215
22,21.34308,-88.07177,8,20211219
23,21.34308,-88.07177,10,20211223
24,21.34308,-88.07177,11,20211227
25,21.34308,-88.07177,7,20211231
26,21.34308,-88.07177,7,20220101
27,21.34308,-88.07177,10,20220105
28,21.34308,-88.07177,10,20220109
29,21.34308,-88.07177,13,20220113
30,21.34308,-88.07177,8,20220117
31,21.34308,-88.07177,8,20220121
32,21.34308,-88.07177,10,20220125
33,21.34308,-88.07177,12,20220129
34,21.34308,-88.07177,7,20220202
35,21.34308,-88.07177,15,20220206
36,21.34308,-88.07177,17,20220210
37,21.34308,-88.07177,1,20220214
38,21.34308,-88.07177,11,20220218
39,21.34308,-88.07177,17,20220222
40,21.34308,-88.07177,7,20220226
41,21.34308,-88.07177,7,20220302
42,21.34308,-88.07177,9,20220306
43,21.34308,-88.07177,12,20220310
44,21.34308,-88.07177,10,20220314
45,21.34308,-88.07177,12,20220318
46,21.34308,-88.07177,8,20220322
47,21.34308,-88.07177,9,20220326
48,21.34308,-88.07177,8,20220330
49,21.34308,-88.07177,9,20220415
50,21.34308,-88.07177,7,20220419
51,21.34308,-88.07177,8,20220423
52,21.34308,-88.07177,7,20220427
53,21.34308,-88.07177,10,20220501
54,21.34308,-88.07177,10,20220505
55,21.34308,-88.07177,10,20220509
56,21.34308,-88.07177,11,20220513
57,21.34308,-88.07177,7,20220517
58,21.34308,-88.07177,7,20220521
59,21.34308,-88.07177,4,20220525
60,21.34308,-88.07177,7,20220529
61,21.34308,-88.07177,16,20220602
62,21.34308,-88.07177,13,20220606
63,21.34308,-88.07177,15,20220610
64,21.34308,-88.07177,19,20220614
65,21.34308,-88.07177,10,20220618
66,21.34308,-88.07177,18,20220622
67,21.34308,-88.07177,23,20220626
68,21.34308,-88.07177,19,20220630
69,21.34308,-88.07177,26,20220704
70,21.34308,-88.07177,23,20220708
71,21.34308,-88.07177,18,20220712
72,21.34308,-88.07177,21,20220716
73,21.34308,-88.07177,16,20220720
74,21.34308,-88.07177,17,20220724
75,21.34308,-88.07177,3,20220728
76,21.34308,-88.07177,7,20220801
77,21.34308,-88.07177,21,20220805
78,21.34308,-88.07177,16,20220809
79,21.34308,-88.07177,12,20220813
80,21.34308,-88.07177,31,20220817
81,21.34308,-88.07177,29,20220821
82,21.34308,-88.07177,25,20220825
83,21.34308,-88.07177,56,20220829
84,21.34308,-88.07177,12,20220902
85,21.34308,-88.07177,22,20220906
86,21.34308,-88.07177,24,20220910
87,21.34308,-88.07177,12,20220914
88,21.34308,-88.07177,16,20220918
89,21.34308,-88.07177,27,20220922
90,21.34308,-88.07177,6,20220926
91,21.34308,-88.07177,17,20220930
92,21.34308,-88.07177,17,20221004
93,21.34308,-88.07177,3,20221008
94,21.34308,-88.07177,17,20221024
95,21.34308,-88.07177,15,20221028
96,21.34308,-88.07177,17,20221101
97,21.34308,-88.07177,6,20221105
98,21.34308,-88.07177,11,20221109
99,21.34308,-88.07177,13,20221113
100,21.34308,-88.07177,8,20221117
101,21.34308,-88.07177,9,20221121
102,21.34308,-88.07177,13,20221125
103,21.34308,-88.07177,12,20221129
104,21.34308,-88.07177,11,20221203
105,21.34308,-88.07177,12,20221207
106,21.34308,-88.07177,10,20221211
107,21.34308,-88.07177,8,20221215
108,21.34308,-88.07177,12,20221219
109,21.34308,-88.07177,3,20221223
110,21.34308,-88.07177,13,20221227
